ProblemID,pCorrect,pPredicted,tp,tn,fp,fn,precision,recall,f1,kappa
helloWorld,0.5205479452054794,0.8904109589041096,0.410958904109589,0.0,0.4794520547945205,0.0,0.4615384615384615,0.7894736842105263,0.5825242718446603,-0.2171384257464135
doubleX,0.9538461538461539,1.0,0.9538461538461539,0.0,0.046153846153846156,0.0,0.9538461538461539,1.0,0.9763779527559054,0.0
raiseToPower,0.8793103448275862,1.0,0.8793103448275862,0.0,0.1206896551724138,0.0,0.8793103448275862,1.0,0.9357798165137614,0.0
convertToDegrees,0.36363636363636365,0.01818181818181818,0.01818181818181818,0.6363636363636364,0.0,0.6363636363636364,1.0,0.049999999999999996,0.09523809523809523,0.06278026905829603
leftoverCandy,0.7608695652173914,1.0,0.7608695652173914,0.0,0.2391304347826087,0.0,0.7608695652173914,1.0,0.8641975308641976,0.0
intToFloat,0.8888888888888888,1.0,0.8888888888888888,0.0,0.1111111111111111,0.0,0.8888888888888888,1.0,0.9411764705882353,0.0
findRoot,0.4634146341463415,0.5853658536585366,0.21951219512195122,0.17073170731707318,0.36585365853658536,0.17073170731707318,0.375,0.4736842105263158,0.41860465116279066,-0.2044653349001173
howManyEggCartons,0.24390243902439024,0.0,0.0,0.7560975609756098,0.0,0.7560975609756098,nan,0.0,nan,0.0
kthDigit,0.16216216216216217,0.0,0.0,0.8378378378378378,0.0,0.8378378378378378,nan,0.0,nan,0.0
nearestBusStop,0.15151515151515152,0.0,0.0,0.8484848484848485,0.0,0.8484848484848485,nan,0.0,nan,0.0
hasTwoDigits,0.3870967741935484,0.0967741935483871,0.0,0.5161290322580645,0.0967741935483871,0.5161290322580645,0.0,0.0,nan,-0.1832061068702291
overNineThousand,0.6774193548387096,1.0,0.6774193548387096,0.0,0.3225806451612903,0.0,0.6774193548387096,1.0,0.8076923076923077,0.0
canDrinkAlcohol,0.3448275862068966,0.06896551724137931,0.0,0.5862068965517241,0.06896551724137931,0.5862068965517241,0.0,0.0,nan,-0.1298701298701299
isPunctuation,0.1111111111111111,0.0,0.0,0.8888888888888888,0.0,0.8888888888888888,nan,0.0,nan,0.0
oneToN,0.2,0.0,0.0,0.8,0.0,0.8,nan,0.0,nan,0.0
backwardsCombine,0.75,1.0,0.75,0.0,0.25,0.0,0.75,1.0,0.8571428571428571,0.0
isEvenPositiveInt,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,nan,0.0,nan,0.0
firstAndLast,0.4090909090909091,0.18181818181818182,0.045454545454545456,0.45454545454545453,0.13636363636363635,0.45454545454545453,0.25,0.1111111111111111,0.15384615384615383,-0.13084112149532712
singlePigLatin,0.36363636363636365,0.09090909090909091,0.045454545454545456,0.5909090909090909,0.045454545454545456,0.5909090909090909,0.5,0.125,0.2,0.06382978723404253
